trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
145,bus_A,3ph,0.0716,-0.28299,-0.13473,0.18508,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
146,bus_A,3ph,-0.03694,0.05338,-0.14852,0.56939,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
147,bus_A,3ph,-0.09643,-0.07536,-0.02025,0.14582,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
148,bus_A,3ph,0.19221,-0.17434,-0.13505,-0.5571,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
149,bus_A,3ph,0.10989,-0.07053,0.17079,-0.68085,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
150,bus_A,3ph,0.01262,0.15434,0.00283,-0.14671,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
151,bus_A,3ph,0.12461,0.00546,0.16261,-0.4106,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
152,bus_A,3ph,0.03938,0.08069,0.16285,-0.63891,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
153,bus_A,3ph,0.12229,0.11009,0.14424,0.17099,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
154,bus_A,3ph,-0.01849,0.1778,-0.08633,-0.69835,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
155,bus_A,3ph,0.09999,0.18742,0.13147,-0.08217,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
156,bus_A,3ph,0.09307,0.12819,-0.08458,0.41711,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
157,bus_A,3ph,0.18568,-0.08874,-0.09062,0.13172,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
158,bus_A,3ph,0.15112,0.06497,0.18802,0.66384,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
159,bus_A,3ph,0.08429,0.12414,-0.12878,-0.24968,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
160,bus_A,3ph,0.12406,-0.05973,-0.10878,-0.68624,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
161,bus_A,3ph,-0.11078,0.04627,0.16965,-0.1704,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
162,bus_A,3ph,0.11581,-0.22272,0.12909,0.67157,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
163,bus_A,3ph,0.00102,-0.02713,0.16324,-0.42754,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
164,bus_A,3ph,0.16825,0.2505,0.18302,0.61438,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
165,bus_A,3ph,0.01029,0.10906,0.0132,-0.31142,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
166,bus_A,3ph,0.19626,-0.28502,-0.09939,0.67331,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
167,bus_A,3ph,0.18092,-0.13271,0.19991,0.4911,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
168,bus_A,3ph,0.11074,0.04311,-0.04229,-0.77088,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
169,bus_A,3ph,-0.05377,-0.07513,-0.1674,-0.65266,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
170,bus_A,3ph,-0.09465,-0.00339,0.10965,0.13961,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
171,bus_A,3ph,0.01639,0.17796,0.1392,-0.09449,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
172,bus_A,3ph,0.04287,0.25276,-0.16808,0.17107,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
173,bus_A,3ph,0.11061,-0.0436,0.09998,0.53413,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
174,bus_A,3ph,0.10574,0.02208,0.08975,0.32882,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
175,bus_A,3ph,-0.04665,-0.28724,0.17989,-0.05074,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
176,bus_A,3ph,-0.0806,-0.14968,-0.0402,0.12233,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
