feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_16,0.5,100.0,30.0,upper,12,177.46693168790068,177.4669316879007,2.9327426575627316,2.9327426575627324,0.9999999999999999,1
IEEE_34,bus_16,0.5,100.0,30.0,diagonal,6,435.12292353497674,435.12292353497674,9.091539805034872,9.091539805034872,1.0,1
IEEE_34,bus_16,0.5,100.0,40.0,full,18,47.31025833749386,47.31025833749386,0.7438314108015867,0.7438314108015867,1.0,1
IEEE_34,bus_16,0.5,100.0,40.0,upper,12,56.11997134952763,56.11997134952763,0.927414658903347,0.927414658903347,1.0,1
IEEE_34,bus_16,0.5,100.0,40.0,diagonal,6,137.59795005218106,137.59795005218106,2.874997322199336,2.874997322199336,1.0,1
IEEE_34,bus_16,0.5,100.0,50.0,full,18,14.960817303745166,14.960817303745166,0.23522014533093855,0.23522014533093855,1.0,1
IEEE_34,bus_16,0.5,100.0,50.0,upper,12,17.746693168790067,17.746693168790067,0.29327426575627313,0.2932742657562732,1.0,1
IEEE_34,bus_16,0.5,100.0,50.0,diagonal,6,43.512292353497664,43.512292353497664,0.909153980503487,0.909153980503487,1.0,1
IEEE_34,bus_16,0.5,100.0,inf,full,18,2.082517814351293e-148,nan,4.248533411991745e-150,nan,nan,1
IEEE_34,bus_16,0.5,100.0,inf,upper,12,2.2501253340727075e-148,nan,4.6435350659198807e-150,nan,nan,1
IEEE_34,bus_16,0.5,100.0,inf,diagonal,6,2.4859175235277078e-148,nan,5.19355411303181e-150,nan,nan,1
IEEE_34,bus_16,0.5,500.0,20.0,full,18,2299.202345024563,2299.202345024563,35.11555239715566,35.11555239715566,1.0,1
IEEE_34,bus_16,0.5,500.0,20.0,upper,12,2725.9063433029196,2725.9063433029196,43.57651612210823,43.57651612210823,1.0000000000000002,1
IEEE_34,bus_16,0.5,500.0,20.0,diagonal,6,7036.775046623362,7036.775046623362,140.22951989653842,140.22951989653842,1.0,1
