slip,trip,kappa_n,omega_true,omega_hat,delta_omega,cusum_latency_ms,I_fund_hat
0.03,True,inf,9.42477796076938,-2.3429649432733443e-05,9.424801390418812,,0.15432620460356303
0.03,True,inf,9.42477796076938,-46.164474205090514,55.58925216585989,10.439276829096553,5.481168604515267e-37
0.03,True,inf,9.42477796076938,-54.5623280334682,63.98710599423758,33.67303246833701,1.221771969474675e-37
0.03,True,inf,9.42477796076938,1.2143556732178846,8.210422287551495,,0.5361398611696453
0.03,True,inf,9.42477796076938,-1.1664619581405355e-06,9.424779127231337,,0.3759125642963475
0.03,True,inf,9.42477796076938,74.285316198229,64.86053823745962,,2.726684117569935e-35
0.03,True,inf,9.42477796076938,-98.53080282362016,107.95558078438954,,3.916178351288974e-37
0.03,True,inf,9.42477796076938,58.153778729430904,48.72900076866152,,0.18580838422702062
0.03,True,inf,9.42477796076938,28.139977171550182,18.715199210780803,,1.2648629715517653e-35
0.03,True,7095.856410175975,9.42477796076938,-11.230229468160692,20.65500742893007,,0.10326936898080748
0.03,True,inf,9.42477796076938,-23.778983610384458,33.203761571153834,,5.6794778440351786e-36
0.03,True,7039894.071886762,9.42477796076938,1.7650174871092015,7.659760473660178,,0.21461062015166843
0.03,True,inf,9.42477796076938,42.07318379519204,32.64840583442266,,0.48747488197066347
0.03,True,inf,9.42477796076938,20.343348472901496,10.918570512132117,,4.202087744254873e-36
0.03,True,16508.770008118147,9.42477796076938,-22.20989929768201,31.63467725845139,,0.17249357034441642
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,1.6856215435743328e-17
0.03,True,8908222.721543899,9.42477796076938,2.291782960848858,7.1329949999205216,,0.26838392423273605
0.03,True,1967214.2162444112,9.42477796076938,2.7738371031879714,6.650940857581408,,0.0466958340834565
0.03,True,inf,9.42477796076938,11.89398698564037,2.46920902487099,,1.990493722309771e-40
0.03,True,35669.95199954224,9.42477796076938,15.117003207624702,5.6922252468553225,,0.344084222690817
0.03,True,26051500170392.777,9.42477796076938,-93.50089657423769,102.92567453500706,,6.849054284484626e-14
0.03,True,25365947.990176298,9.42477796076938,-1.529402342346148,10.954180303115528,,0.43626859923267053
0.03,True,5486.8035907220155,9.42477796076938,11.39394551437401,1.9691675536046311,,0.2590773738414017
0.03,True,inf,9.42477796076938,35.3446921723602,25.919914211590818,,9.484120766123168e-24
0.03,True,3130199734307.5522,9.42477796076938,33.24514356352011,23.82036560275073,,6.824582096517713e-13
0.03,True,5049509.043904171,9.42477796076938,2.5090306937247138,6.915747267044665,40.3958904721239,0.39599356306622413
0.03,True,inf,9.42477796076938,13.8074318101498,4.3826538493804215,,0.4453806504716237
0.03,True,175647.28734480395,9.42477796076938,5.206280076470354,4.218497884299025,,0.20292250800397857
0.03,True,558.9676572240797,9.42477796076938,-21.159847847562403,30.584625808331783,,0.38945921493965135
0.03,True,1293.234699664544,9.42477796076938,-16.10566750869107,25.53044546946045,,0.5064516994842043
0.03,True,inf,9.42477796076938,-95.70409915104221,105.12887711181159,,8.740084797024742e-33
0.03,True,3992351.2944995877,9.42477796076938,2.648464089045803,6.776313871723577,,0.29509792171534915
