t,ia,ib,ic,va,vb,vc,i_rms
0.2413,1.5646045,-0.48064664,0.13416739,0.032442463,-0.08114725,0.048704787,1.4270047
0.2414,1.5396068,-0.41876078,0.15965802,0.034781323,-0.081402126,0.046620804,1.4273209
0.2415,1.5128716,-0.35672633,0.18499109,0.037085857,-0.081576668,0.044490811,1.4276336
0.2416,1.4844261,-0.29460405,0.2101416,0.039353793,-0.081670704,0.042316911,1.4279426
0.2417,1.454299,-0.23245483,0.23508473,0.041582891,-0.081684141,0.04010125,1.4282474
0.2418,1.4225208,-0.17033952,0.25979585,0.043770951,-0.081616965,0.037846014,1.4285479
0.2419,1.3891236,-0.10831897,0.28425059,0.045915815,-0.081469243,0.035553428,1.4288438
0.242,1.3541412,-0.046453901,0.3084248,0.048015366,-0.081241121,0.033225755,1.4291346
0.2421,1.3176086,0.015195133,0.33229464,0.050067531,-0.080932824,0.030865292,1.4294202
0.2422,1.2795628,0.076567791,0.35583654,0.052070286,-0.080544655,0.028474369,1.4297
0.2423,1.2400418,0.13760402,0.37902728,0.054021653,-0.080076999,0.026055346,1.4299738
0.2424,1.1990855,0.19824412,0.40184396,0.055919708,-0.079530317,0.023610609,1.430241
0.2425,1.1567349,0.25842878,0.42426407,0.057762577,-0.078905147,0.021142571,1.4305014
0.2426,1.1130324,0.31809916,0.44626548,0.059548441,-0.078202108,0.018653667,1.4307545
0.2427,1.068022,0.37719692,0.46782648,0.061275538,-0.077421893,0.016146355,1.4309997
0.2428,1.0217485,0.43566433,0.4889258,0.062942163,-0.076565272,0.013623109,1.4312368
0.2429,0.97425834,0.49344426,0.5095426,0.064546672,-0.07563309,0.011086418,1.431465
0.243,0.92559902,0.55048029,0.52965655,0.066087482,-0.074626267,0.0085387859,1.4316841
0.2431,0.87581916,0.60671673,0.54924778,0.06756307,-0.073545798,0.0059827272,1.4318935
0.2432,0.82496849,0.6620987,0.56829698,0.068971983,-0.072392747,0.0034207644,1.4320925
0.2433,0.7730978,0.71657217,0.58678534,0.070312828,-0.071168254,0.00085542559,1.4322808
0.2434,0.72025885,0.77008402,0.60469461,0.071584283,-0.069873526,-0.0017107574,1.4324577
0.2435,0.66650437,0.82258209,0.62200712,0.072785093,-0.068509841,-0.004275252,1.4326227
0.2436,0.61188796,0.87401522,0.63870578,0.073914073,-0.067078545,-0.0068355275,1.4327753
0.2437,0.55646407,0.92433331,0.65477412,0.074970109,-0.065581051,-0.0093890572,1.4329148
0.2438,0.50028794,0.97348739,0.67019628,0.075952158,-0.064018837,-0.011933321,1.4330407
0.2439,0.44341554,1.0214296,0.68495703,0.076859251,-0.062393443,-0.014465808,1.4331524
0.244,0.3859035,1.0681134,0.69904181,0.077690494,-0.060706475,-0.016984019,1.4332493
0.2441,0.32780908,1.1134933,0.71243673,0.078445066,-0.058959597,-0.019485469,1.4333308
0.2442,0.2691901,1.1575254,0.72512855,0.079122221,-0.057154533,-0.021967689,1.4333964
0.2443,0.21010489,1.2001668,0.73710476,0.079721293,-0.055293064,-0.02442823,1.4334455
0.2444,0.15061222,1.2413761,0.74835354,0.08024169,-0.053377027,-0.026864662,1.4334775
0.2445,0.090771256,1.2811136,0.75886378,0.080682897,-0.051408314,-0.029274583,1.4334918
0.2446,0.030641494,1.3193406,0.76862511,0.081044481,-0.049388867,-0.031655613,1.4334879
0.2447,-0.029717301,1.3560202,0.77762791,0.081326083,-0.047320679,-0.034005403,1.4334653
0.2448,-0.090245149,1.3911169,0.78586328,0.081527426,-0.045205792,-0.036321634,1.4334234
0.2449,-0.15088192,1.424597,0.7933231,0.081648311,-0.043046292,-0.03860202,1.4333616
0.245,-0.21156737,1.456428,0.8,0.08168862,-0.04084431,-0.04084431,1.4332796
0.2451,-0.27224125,1.4865793,0.8058874,0.081648311,-0.03860202,-0.043046292,1.4331768
0.2452,-0.33284332,1.5150221,0.81097949,0.081527426,-0.036321634,-0.045205792,1.4330528
0.2453,-0.39331342,1.5417289,0.81527123,0.081326083,-0.034005403,-0.047320679,1.4329071
0.2454,-0.45359153,1.5666742,0.81875841,0.081044481,-0.031655613,-0.049388867,1.4327394
0.2455,-0.51361784,1.5898342,0.82143757,0.080682897,-0.029274583,-0.051408314,1.4325492
0.2456,-0.57333281,1.6111868,0.82330606,0.08024169,-0.026864662,-0.053377027,1.4323362
0.2457,-0.6326772,1.6307117,0.82436206,0.079721293,-0.02442823,-0.055293064,1.4321001
0.2458,-0.69159216,1.6483905,0.82460451,0.079122221,-0.021967689,-0.057154533,1.4318406
0.2459,-0.75001928,1.6642065,0.82403317,0.078445066,-0.019485469,-0.058959597,1.4315574
0.246,-0.80790062,1.6781449,0.82264861,0.077690494,-0.016984019,-0.060706475,1.4312503
0.2461,-0.86517883,1.6901927,0.8204522,0.076859251,-0.014465808,-0.062393443,1.4309191
0.2462,-0.92179713,1.7003389,0.8174461,0.075952158,-0.011933321,-0.064018837,1.4305638
0.2463,-0.97769942,1.7085743,0.81363328,0.074970109,-0.0093890572,-0.065581051,1.4301841
0.2464,-1.0328303,1.7148915,0.8090175,0.073914073,-0.0068355275,-0.067078545,1.42978
0.2465,-1.0871352,1.7192851,0.80360332,0.072785093,-0.004275252,-0.068509841,1.4293515
0.2466,-1.1405603,1.7217515,0.79739608,0.071584283,-0.0017107574,-0.069873526,1.4288987
0.2467,-1.1930528,1.7222892,0.7904019,0.070312828,0.00085542559,-0.071168254,1.4284215
0.2468,-1.2445605,1.7208985,0.7826277,0.068971983,0.0034207644,-0.072392747,1.42792
0.2469,-1.2950326,1.7175814,0.77408113,0.06756307,0.0059827272,-0.073545798,1.4273946
0.247,-1.3444191,1.7123421,0.76477065,0.066087482,0.0085387859,-0.074626267,1.4268452
0.2471,-1.3926712,1.7051865,0.75470542,0.064546672,0.011086418,-0.07563309,1.4262723
0.2472,-1.4397409,1.6961225,0.74389539,0.062942163,0.013623109,-0.076565272,1.425676
0.2473,-1.4855819,1.6851599,0.73235123,0.061275538,0.016146355,-0.077421893,1.4250567
0.2474,-1.5301487,1.6723102,0.72008432,0.059548441,0.018653667,-0.078202108,1.425157
0.2475,-1.5733973,1.657587,0.70710678,0.057762577,0.021142571,-0.078905147,1.425489
0.2476,-1.6152849,1.6410055,0.69343141,0.055919708,0.023610609,-0.079530317,1.4258187
0.2477,-1.6557701,1.6225828,0.67907171,0.054021653,0.026055346,-0.080076999,1.4261459
0.2478,-1.6948128,1.602338,0.66404184,0.052070286,0.028474369,-0.080544655,1.4264704
0.2479,-1.7323745,1.5802917,0.64835665,0.050067531,0.030865292,-0.080932824,1.426792
0.248,-1.768418,1.5564666,0.6320316,0.048015366,0.033225755,-0.081241121,1.4271105
0.2481,-1.8029077,1.5308868,0.61508282,0.045915815,0.035553428,-0.081469243,1.4274256
0.2482,-1.8358096,1.5035784,0.59752702,0.043770951,0.037846014,-0.081616965,1.427737
0.2483,-1.867091,1.4745691,0.57938154,0.041582891,0.04010125,-0.081684141,1.4280446
0.2484,-1.8967213,1.4438882,0.56066428,0.039353793,0.042316911,-0.081670704,1.4283481
0.2485,-1.924671,1.4115667,0.5413937,0.037085857,0.044490811,-0.081576668,1.4286471
0.2486,-1.9509125,1.3776373,0.52158884,0.034781323,0.046620804,-0.081402126,1.4289413
0.2487,-1.9754201,1.3421341,0.50126924,0.032442463,0.048704787,-0.08114725,1.4292304
0.2488,-1.9981694,1.305093,0.48045494,0.030071587,0.050740705,-0.080812291,1.4295141
0.2489,-2.019138,1.2665511,0.45916649,0.027671033,0.052726548,-0.080397581,1.4297919
0.249,-2.0383053,1.2265472,0.4374249,0.025243172,0.054660356,-0.079903527,1.4300636
0.2491,-2.0556523,1.1851215,0.41525162,0.022790398,0.056540221,-0.079330619,1.4303286
0.2492,-2.071162,1.1423155,0.39266854,0.020315134,0.058364287,-0.078679421,1.4305866
0.2493,-2.084819,1.0981721,0.36969795,0.01781982,0.060130755,-0.077950575,1.4308371
0.2494,-2.0966099,1.0527355,0.3463625,0.015306921,0.061837881,-0.077144802,1.4310797
0.2495,-2.106523,1.0060513,0.32268524,0.012778916,0.063483981,-0.076262896,1.4313138
0.2496,-2.1145487,0.95816609,0.29868953,0.010238299,0.06506743,-0.075305728,1.4315391
0.2497,-2.120679,0.9091278,0.27439904,0.0076875782,0.066586665,-0.074274243,1.431755
0.2498,-2.1249079,0.85898543,0.24983776,0.0051292709,0.068040186,-0.073169457,1.431961
0.2499,-2.1272313,0.80778906,0.22502992,0.0025659016,0.069426561,-0.071992463,1.4321565
0.25,-2.1276468,0.75558981,0.2,-4.011701e-17,0.07074442,-0.07074442,1.4323411
0.2501,-2.1261542,0.70243978,0.1747727,-0.0025659016,0.071992463,-0.069426561,1.4325141
0.2502,-2.122755,0.64839199,0.14937293,-0.0051292709,0.073169457,-0.068040186,1.432675
0.2503,-2.1174525,0.59350034,0.12382574,-0.0076875782,0.074274243,-0.066586665,1.4328233
0.2504,-2.1102519,0.53781953,0.098156353,-0.010238299,0.075305728,-0.06506743,1.4329583
0.2505,-2.1011605,0.48140506,0.072390096,-0.012778916,0.076262896,-0.063483981,1.4330795
0.2506,-2.0901872,0.42431311,0.046552398,-0.015306921,0.077144802,-0.061837881,1.4331863
0.2507,-2.0773429,0.36660056,0.020668759,-0.01781982,0.077950575,-0.060130755,1.4332782
0.2508,-2.0626403,0.30832483,-0.0052352775,-0.020315134,0.078679421,-0.058364287,1.4333545
0.2509,-2.046094,0.24954394,-0.031134148,-0.022790398,0.079330619,-0.056540221,1.4334146
0.251,-2.0277202,0.19031636,-0.057002292,-0.025243172,0.079903527,-0.054660356,1.4334581
0.2511,-2.0075372,0.130701,-0.082814182,-0.027671033,0.080397581,-0.052726548,1.4334842
0.2512,-1.9855648,0.070757145,-0.10854434,-0.030071587,0.080812291,-0.050740705,1.4334926
0.2513,-1.9618248,0.010544386,-0.13416739,-0.032442463,0.08114725,-0.048704787,1.4334825
0.2514,-1.9363406,-0.049877434,-0.15965802,-0.034781323,0.081402126,-0.046620804,1.4334535
0.2515,-1.9091373,-0.11044828,-0.18499109,-0.037085857,0.081576668,-0.044490811,1.433405
0.2516,-1.8802419,-0.17110797,-0.2101416,-0.039353793,0.081670704,-0.042316911,1.4333366
