dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,Rx_err_pct,J_final,n_iters,cpu_ms
self_consistent,564,0.8,100.0,30.0,20.0,2.1204881025220916,0.13385256823626435,2.4758014102670287e-17,7,55.91342691332102
self_consistent,565,0.8,100.0,30.0,30.0,2.2280653350487816,0.0,1.6020205190718606e-09,4,65.8643040806055
self_consistent,566,0.8,100.0,30.0,40.0,0.7032195405624886,0.15184234679513509,7.240477481109456e-18,6,62.79519805684686
self_consistent,567,0.8,100.0,30.0,inf,0.4731354698818968,0.0,4.212597713282486e-11,3,57.2819858789444
self_consistent,568,0.8,100.0,40.0,20.0,4.401085429487083,0.0023369288480523664,4.041469529339168e-18,4,65.31996908597648
self_consistent,569,0.8,100.0,40.0,30.0,0.38714771396926306,0.016319926076391766,4.490778969099234e-17,6,60.70565897971392
self_consistent,570,0.8,100.0,40.0,40.0,0.7086004840690524,0.1516471331619158,7.415252932620055e-18,6,58.79420693963766
self_consistent,571,0.8,100.0,40.0,inf,0.05370589355876976,0.027710780741870167,3.4283030394054557e-17,6,66.80336897261441
self_consistent,572,0.8,100.0,inf,20.0,1.426841413348076,0.0,2.5881263084149848e-09,5,61.895766062662005
self_consistent,573,0.8,100.0,inf,30.0,0.0011374466509783687,0.2108088464090656,1.0859572272231524e-17,6,65.66459499299526
self_consistent,574,0.8,100.0,inf,40.0,0.03932341815714169,0.0,7.55664655509409e-11,5,60.802367981523275
self_consistent,575,0.8,100.0,inf,inf,9.060965740215199e-05,8.997739641358748e-05,5.898135684001263e-17,4,68.08536895550787
self_consistent,576,0.8,500.0,20.0,20.0,21.05083218464042,0.7970067289725989,7.387466580121379e-20,6,60.04188605584204
self_consistent,577,0.8,500.0,20.0,30.0,1.466391816934004,0.2784981425734031,7.468276893963477e-19,5,64.85961889848113
self_consistent,578,0.8,500.0,20.0,40.0,10.194258776784618,0.3957657856846367,2.2070763348668644e-20,6,71.14622998051345
self_consistent,579,0.8,500.0,20.0,inf,15.42648895192207,0.21647599637526582,4.545499455781432e-19,5,58.96973819471896
self_consistent,580,0.8,500.0,30.0,20.0,0.12425774365962261,0.9303658079329125,1.0676746816583828e-19,6,67.90429912507534
self_consistent,581,0.8,500.0,30.0,30.0,2.70373138596533,0.3191572065835658,1.8033335298438923e-20,6,61.18500209413469
self_consistent,582,0.8,500.0,30.0,40.0,9.458816026802749,0.06326175429943533,8.527684199623986e-20,5,61.75474892370403
self_consistent,583,0.8,500.0,30.0,inf,1.4598021808154837,0.17280823834718148,2.5673099491669996e-19,5,62.38840892910957
self_consistent,584,0.8,500.0,40.0,20.0,10.254771653173691,0.23007606717152385,7.207144718154968e-19,5,64.06674697063863
self_consistent,585,0.8,500.0,40.0,30.0,3.097148507046357,0.05163603782746122,6.66114118799458e-20,5,73.24211299419403
self_consistent,586,0.8,500.0,40.0,40.0,2.025665637720289,0.040446929341749184,4.682401291286128e-21,5,61.31569901481271
