dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2_mean,loc_improvement_frac,loc_improvement_pct
pscad,267,0.400,500.0,40.0,inf,0.687061,1.203075,-0.751046,-75.1046
pscad,268,0.400,500.0,inf,20.0,20.816771,23.928597,-0.149486,-14.9486
pscad,269,0.400,500.0,inf,30.0,6.496577,6.392858,0.015965,1.5965
pscad,270,0.400,500.0,inf,40.0,8.087896,8.886859,-0.098785,-9.8785
pscad,271,0.400,500.0,inf,inf,0.541484,1.093080,-1.018675,-101.8675
pscad,272,0.400,1000.0,20.0,20.0,104.300506,77.200364,0.259828,25.9828
pscad,273,0.400,1000.0,20.0,30.0,129.748950,99.975000,0.229474,22.9474
pscad,274,0.400,1000.0,20.0,40.0,33.371943,99.975000,-1.995780,-199.5780
pscad,275,0.400,1000.0,20.0,inf,137.500000,149.975000,-0.090727,-9.0727
pscad,276,0.400,1000.0,30.0,20.0,17.752980,99.975000,-4.631449,-463.1449
pscad,277,0.400,1000.0,30.0,30.0,16.441030,99.975000,-5.080824,-508.0824
pscad,278,0.400,1000.0,30.0,40.0,6.325675,99.975000,-14.804638,-1480.4638
pscad,279,0.400,1000.0,30.0,inf,18.498553,99.975000,-4.404477,-440.4477
pscad,280,0.400,1000.0,40.0,20.0,43.807676,99.975000,-1.282134,-128.2134
pscad,281,0.400,1000.0,40.0,30.0,7.420381,99.975000,-12.473027,-1247.3027
pscad,282,0.400,1000.0,40.0,40.0,7.018661,99.975000,-13.244170,-1324.4170
pscad,283,0.400,1000.0,40.0,inf,16.355354,99.975000,-5.112677,-511.2677
pscad,284,0.400,1000.0,inf,20.0,16.996762,99.975000,-4.882003,-488.2003
pscad,285,0.400,1000.0,inf,30.0,11.729750,99.975000,-7.523200,-752.3200
pscad,286,0.400,1000.0,inf,40.0,9.447869,99.975000,-9.581751,-958.1751
pscad,287,0.400,1000.0,inf,inf,4.904977,55.751620,-10.366336,-1036.6336
pscad,288,0.400,2000.0,20.0,20.0,60.597937,82.825714,-0.366807,-36.6807
pscad,289,0.400,2000.0,20.0,30.0,69.237549,22.588570,0.673753,67.3753
pscad,290,0.400,2000.0,20.0,40.0,137.500000,116.697878,0.151288,15.1288
pscad,291,0.400,2000.0,20.0,inf,6.542409,38.410568,-4.871013,-487.1013
pscad,292,0.400,2000.0,30.0,20.0,16.171544,6.377439,0.605638,60.5638
pscad,293,0.400,2000.0,30.0,30.0,76.056533,64.588937,0.150777,15.0777
pscad,294,0.400,2000.0,30.0,40.0,88.493005,74.594340,0.157059,15.7059
pscad,295,0.400,2000.0,30.0,inf,58.406144,54.526400,0.066427,6.6427
pscad,296,0.400,2000.0,40.0,20.0,137.500000,149.975000,-0.090727,-9.0727
pscad,297,0.400,2000.0,40.0,30.0,12.573319,41.315475,-2.285964,-228.5964
pscad,298,0.400,2000.0,40.0,40.0,43.215142,54.407140,-0.258983,-25.8983
pscad,299,0.400,2000.0,40.0,inf,17.232396,38.656837,-1.243265,-124.3265
pscad,300,0.400,2000.0,inf,20.0,87.500000,65.328117,0.253393,25.3393
pscad,301,0.400,2000.0,inf,30.0,14.994218,11.109366,0.259090,25.9090
pscad,302,0.400,2000.0,inf,40.0,12.242379,38.718409,-2.162654,-216.2654
pscad,303,0.400,2000.0,inf,inf,22.936693,43.885648,-0.913338,-91.3338
pscad,304,0.400,5000.0,20.0,20.0,87.500000,99.975000,-0.142571,-14.2571
pscad,305,0.400,5000.0,20.0,30.0,34.363505,99.975000,-1.909337,-190.9337
pscad,306,0.400,5000.0,20.0,40.0,23.308915,99.975000,-3.289131,-328.9131
pscad,307,0.400,5000.0,20.0,inf,87.500000,99.975000,-0.142571,-14.2571
pscad,308,0.400,5000.0,30.0,20.0,87.500000,99.975000,-0.142571,-14.2571
pscad,309,0.400,5000.0,30.0,30.0,3.387770,99.975000,-28.510567,-2851.0567
pscad,310,0.400,5000.0,30.0,40.0,24.028607,99.975000,-3.160666,-316.0666
pscad,311,0.400,5000.0,30.0,inf,27.867189,99.975000,-2.587552,-258.7552
