dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,205,0.300,1000.0,inf,30.0,42.820279,99.966667,11.135084
pscad,206,0.300,1000.0,inf,40.0,13.554432,99.966667,11.068101
pscad,207,0.300,1000.0,inf,inf,8.936333,98.094390,12.094926
pscad,208,0.300,2000.0,20.0,20.0,83.333333,99.966667,1.065545
pscad,209,0.300,2000.0,20.0,30.0,72.833155,62.247640,1.119895
pscad,210,0.300,2000.0,20.0,40.0,78.355703,23.381683,0.966769
pscad,211,0.300,2000.0,20.0,inf,216.666667,233.300000,1.261934
pscad,212,0.300,2000.0,30.0,20.0,13.690086,98.789086,1.258814
pscad,213,0.300,2000.0,30.0,30.0,162.382427,146.913385,0.928143
pscad,214,0.300,2000.0,30.0,40.0,47.865289,71.819903,1.025413
pscad,215,0.300,2000.0,30.0,inf,27.071154,20.961513,0.985499
pscad,216,0.300,2000.0,40.0,20.0,83.333333,23.202199,0.939749
pscad,217,0.300,2000.0,40.0,30.0,42.336357,45.017704,1.097670
pscad,218,0.300,2000.0,40.0,40.0,49.462066,78.230689,1.007561
pscad,219,0.300,2000.0,40.0,inf,19.668709,61.619393,0.980606
pscad,220,0.300,2000.0,inf,20.0,59.109058,59.337121,1.083853
pscad,221,0.300,2000.0,inf,30.0,45.637108,65.204749,1.042652
pscad,222,0.300,2000.0,inf,40.0,50.957895,88.141066,0.966530
pscad,223,0.300,2000.0,inf,inf,32.775415,68.130327,0.998042
pscad,224,0.300,5000.0,20.0,20.0,57.693187,99.966667,4.938630
pscad,225,0.300,5000.0,20.0,30.0,111.439151,99.966667,5.315506
pscad,226,0.300,5000.0,20.0,40.0,66.974800,99.966667,4.223578
pscad,227,0.300,5000.0,20.0,inf,111.305460,99.966667,5.298313
pscad,228,0.300,5000.0,30.0,20.0,11.166608,99.966667,4.801985
pscad,229,0.300,5000.0,30.0,30.0,8.036936,99.966667,4.730891
pscad,230,0.300,5000.0,30.0,40.0,10.504797,99.966667,4.808504
pscad,231,0.300,5000.0,30.0,inf,41.003391,99.966667,4.814304
pscad,232,0.300,5000.0,40.0,20.0,109.097611,99.966667,5.026035
pscad,233,0.300,5000.0,40.0,30.0,27.841475,99.966667,4.729501
pscad,234,0.300,5000.0,40.0,40.0,12.344343,99.966667,4.771227
pscad,235,0.300,5000.0,40.0,inf,19.322461,99.966667,4.777989
pscad,236,0.300,5000.0,inf,20.0,83.333333,99.966667,5.027086
pscad,237,0.300,5000.0,inf,30.0,8.723559,99.966667,4.815517
pscad,238,0.300,5000.0,inf,40.0,20.696634,99.966667,4.785975
pscad,239,0.300,5000.0,inf,inf,22.339835,99.966667,4.799173
pscad,240,0.400,100.0,20.0,20.0,14.065765,29.402332,7.354914
pscad,241,0.400,100.0,20.0,30.0,0.156905,14.087933,7.469090
pscad,242,0.400,100.0,20.0,40.0,5.168717,6.724386,7.609565
pscad,243,0.400,100.0,20.0,inf,0.649177,11.709645,7.608194
