dataset,cell,alpha,Rx,snrV,snrI,n_trials,loc_mean_pct,loc_p95_pct,Rx_mean_pct,Rx_p95_pct
ref50,408,0.6,100.0,40.0,20.0,1,11.488276995281009,11.488276995281009,7.40688609630962,7.40688609630962
ref50,409,0.6,100.0,40.0,30.0,1,9.726302735094265,9.726302735094265,7.52903907043718,7.52903907043718
ref50,410,0.6,100.0,40.0,40.0,1,9.771186412656231,9.771186412656231,7.490872296230507,7.490872296230507
ref50,411,0.6,100.0,40.0,inf,1,9.782079526984548,9.782079526984548,7.495174663994675,7.495174663994675
ref50,412,0.6,100.0,inf,20.0,1,13.181202570359225,13.181202570359225,7.383041860082784,7.383041860082784
ref50,413,0.6,100.0,inf,30.0,1,9.661574962638884,9.661574962638884,7.515506526074078,7.515506526074078
ref50,414,0.6,100.0,inf,40.0,1,9.741945335368948,9.741945335368948,7.495307170013092,7.495307170013092
ref50,415,0.6,100.0,inf,inf,1,11.172301038102537,11.172301038102537,7.509395137493641,7.509395137493641
ref50,416,0.6,500.0,20.0,20.0,1,7.981328893395609,7.981328893395609,0.8176825643576535,0.8176825643576535
ref50,417,0.6,500.0,20.0,30.0,1,12.953106499129063,12.953106499129063,1.0141414530538668,1.0141414530538668
ref50,418,0.6,500.0,20.0,40.0,1,10.40957291573754,10.40957291573754,0.8408712570753437,0.8408712570753437
ref50,419,0.6,500.0,20.0,inf,1,18.977923134520772,18.977923134520772,0.9610694902928685,0.9610694902928685
ref50,420,0.6,500.0,30.0,20.0,1,22.974945958650515,22.974945958650515,0.9260961589819203,0.9260961589819203
ref50,421,0.6,500.0,30.0,30.0,1,5.632029404897839,5.632029404897839,0.9787884409484036,0.9787884409484036
ref50,422,0.6,500.0,30.0,40.0,1,3.895009495473593,3.895009495473593,1.0287709595754564,1.0287709595754564
ref50,423,0.6,500.0,30.0,inf,1,6.34451907778479,6.34451907778479,0.9762210033734846,0.9762210033734846
ref50,424,0.6,500.0,40.0,20.0,1,6.254489954667653,6.254489954667653,1.0633981130406938,1.0633981130406938
ref50,425,0.6,500.0,40.0,30.0,1,16.469240137454303,16.469240137454303,0.926821421254499,0.926821421254499
ref50,426,0.6,500.0,40.0,40.0,1,2.9449335798565346,2.9449335798565346,0.9616983911931924,0.9616983911931924
ref50,427,0.6,500.0,40.0,inf,1,1.1804862151586124,1.1804862151586124,0.9626800446520178,0.9626800446520178
ref50,428,0.6,500.0,inf,20.0,1,38.01380654587276,38.01380654587276,1.1014583035869123,1.1014583035869123
ref50,429,0.6,500.0,inf,30.0,1,11.35628308449843,11.35628308449843,0.9071530196173512,0.9071530196173512
ref50,430,0.6,500.0,inf,40.0,1,1.2002803485674323,1.2002803485674323,0.9633051337648908,0.9633051337648908
ref50,431,0.6,500.0,inf,inf,1,2.772728611287782,2.772728611287782,0.9581309927833445,0.9581309927833445
ref50,432,0.6,1000.0,20.0,20.0,1,99.98333333333333,99.98333333333333,11.071376590300973,11.071376590300973
ref50,433,0.6,1000.0,20.0,30.0,1,99.98333333333333,99.98333333333333,11.225798893650142,11.225798893650142
ref50,434,0.6,1000.0,20.0,40.0,1,99.98333333333333,99.98333333333333,10.978406680588817,10.978406680588817
ref50,435,0.6,1000.0,20.0,inf,1,99.98333333333333,99.98333333333333,11.120760302981797,11.120760302981797
ref50,436,0.6,1000.0,30.0,20.0,1,99.98333333333333,99.98333333333333,11.19677530743236,11.19677530743236
ref50,437,0.6,1000.0,30.0,30.0,1,99.98333333333333,99.98333333333333,11.153439334455845,11.153439334455845
ref50,438,0.6,1000.0,30.0,40.0,1,99.98333333333333,99.98333333333333,11.105190420891915,11.105190420891915
ref50,439,0.6,1000.0,30.0,inf,1,99.98333333333333,99.98333333333333,11.06465997754742,11.06465997754742
ref50,440,0.6,1000.0,40.0,20.0,1,99.98333333333333,99.98333333333333,11.092521780128289,11.092521780128289
ref50,441,0.6,1000.0,40.0,30.0,1,99.98333333333333,99.98333333333333,11.08778305626254,11.08778305626254
ref50,442,0.6,1000.0,40.0,40.0,1,99.98333333333333,99.98333333333333,11.095662947894244,11.095662947894244
ref50,443,0.6,1000.0,40.0,inf,1,99.98333333333333,99.98333333333333,11.067693718404792,11.067693718404792
ref50,444,0.6,1000.0,inf,20.0,1,99.98333333333333,99.98333333333333,10.98627932601147,10.98627932601147
ref50,445,0.6,1000.0,inf,30.0,1,99.98333333333333,99.98333333333333,11.094254220012296,11.094254220012296
ref50,446,0.6,1000.0,inf,40.0,1,99.98333333333333,99.98333333333333,11.104658671604511,11.104658671604511
ref50,447,0.6,1000.0,inf,inf,1,11.923049476262419,11.923049476262419,12.064708732039525,12.064708732039525
