alpha,Rx,sigma_min,sigma_min_over_max,hermann_krener_rank,is_degenerate
0.178571,1393.8123,4.642019e-07,2.296072e-02,2,0
0.178571,1509.6530,3.879192e-07,2.174409e-02,2,0
0.178571,1635.1214,3.234656e-07,2.048287e-02,2,0
0.178571,1771.0175,2.691387e-07,1.919243e-02,2,0
0.178571,1918.2081,2.234662e-07,1.788913e-02,2,0
0.178571,2077.6318,1.851732e-07,1.658950e-02,2,0
0.178571,2250.3052,1.531561e-07,1.530940e-02,2,0
0.178571,2437.3297,1.264599e-07,1.406334e-02,2,0
0.178571,2639.8980,1.042602e-07,1.286387e-02,2,0
0.178571,2859.3018,8.584669e-08,1.172124e-02,2,0
0.178571,3096.9405,7.061004e-08,1.064317e-02,2,0
0.178571,3354.3295,5.802940e-08,9.634912e-03,2,1
0.178571,3633.1102,4.766168e-08,8.699387e-03,2,1
0.178571,3935.0607,3.913172e-08,7.837459e-03,2,1
0.178571,4262.1064,3.212338e-08,7.048270e-03,2,1
0.178571,4616.3332,2.637151e-08,6.329589e-03,2,1
0.178571,5000.0000,2.165470e-08,5.678161e-03,2,1
0.196939,100.0000,9.555308e-05,3.267064e-02,2,0
0.196939,108.3111,8.174103e-05,3.268989e-02,2,0
0.196939,117.3129,6.991252e-05,3.270897e-02,2,0
0.196939,127.0628,5.978586e-05,3.272756e-02,2,0
0.196939,137.6231,5.111854e-05,3.274525e-02,2,0
0.196939,149.0611,4.370200e-05,3.276155e-02,2,0
0.196939,161.4497,3.735702e-05,3.277587e-02,2,0
0.196939,174.8679,3.192970e-05,3.278746e-02,2,0
0.196939,189.4013,2.728798e-05,3.279544e-02,2,0
0.196939,205.1425,2.331861e-05,3.279875e-02,2,0
0.196939,222.1921,1.992452e-05,3.279611e-02,2,0
0.196939,240.6586,1.702252e-05,3.278601e-02,2,0
0.196939,260.6599,1.454139e-05,3.276666e-02,2,0
0.196939,282.3236,1.242015e-05,3.273596e-02,2,0
0.196939,305.7877,1.060662e-05,3.269143e-02,2,0
0.196939,331.2019,9.056159e-06,3.263024e-02,2,0
