trial,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,loc_err_emanuel_dft,loc_err_wang2020_dft,loc_err_emanuel_tft,loc_err_wang2020_tft,delta_dft,delta_tft
0,bus_13,0.5,2000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,5000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,100.0,20.0,30.0,56.88889032086838,36.90838738448434,99.21477282186478,77.42174553912464,-19.980502936384035,-21.79302728274014
0,bus_19,0.5,100.0,20.0,40.0,57.1258113420544,36.80502380499555,99.98,99.98,-20.320787537058848,0.0
0,bus_19,0.5,100.0,20.0,inf,65.35206030597169,38.757627280645146,99.91131260981051,93.35095379542516,-26.594433025326545,-6.560358814385353
0,bus_19,0.5,100.0,30.0,30.0,63.134577058947414,38.97007202175373,99.98,97.49359627628229,-24.164505037193685,-2.4864037237177143
0,bus_19,0.5,100.0,30.0,40.0,67.03072052453683,32.53473547056004,99.98,96.06380107941067,-34.495985053976796,-3.9161989205893377
0,bus_19,0.5,100.0,30.0,inf,65.10657874486408,20.371174800422963,99.98,99.98,-44.73540394444112,0.0
0,bus_19,0.5,100.0,40.0,30.0,67.02069013940996,26.831034668259434,99.98,99.98,-40.18965547115053,0.0
0,bus_19,0.5,100.0,40.0,40.0,63.13982027685656,63.16385422329604,99.98,99.62450662301472,0.024033946439480758,-0.3554933769852795
0,bus_19,0.5,100.0,40.0,inf,64.99183312016643,20.476696655823822,99.98,95.86891552446947,-44.51513646434261,-4.111084475530532
0,bus_19,0.5,100.0,inf,30.0,62.97451035683069,24.556364945727882,98.94112765034376,99.98,-38.41814541110281,1.0388723496562449
0,bus_19,0.5,100.0,inf,40.0,65.06064318905833,36.77109267874893,99.98,99.98,-28.289550510309397,0.0
0,bus_19,0.5,100.0,inf,inf,61.9075510491642,68.0501284963234,99.98,99.98,6.142577447159198,0.0
0,bus_19,0.5,500.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,500.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,1000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,2000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_19,0.5,5000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_25,0.5,100.0,20.0,30.0,63.29583600706474,22.78061349314867,99.98,85.5114668946126,-40.51522251391607,-14.468533105387408
0,bus_25,0.5,100.0,20.0,40.0,67.31701608292158,22.533639181426157,99.9104725613256,40.747453698319056,-44.78337690149543,-59.16301886300655
0,bus_25,0.5,100.0,20.0,inf,73.46561790524892,34.73985410078648,99.98,91.53159499923453,-38.72576380446244,-8.448405000765476
0,bus_25,0.5,100.0,30.0,30.0,65.41262889456974,22.6686943803027,99.98,75.14462459613908,-42.74393451426704,-24.835375403860922
0,bus_25,0.5,100.0,30.0,40.0,65.17139040053237,20.51738996385972,99.98,75.06813609850308,-44.65400043667265,-24.91186390149693
0,bus_25,0.5,100.0,30.0,inf,65.36914404255097,60.87263594758452,99.98,91.72858438597855,-4.496508094966451,-8.251415614021454
