t,ia,ib,ic,va,vb,vc,i_rms
0.0205,-1.0612582,2.0768716,-1.0156134,-0.97138332,0.83076252,0.14062079,2.0722807
0.0206,-1.0606239,2.0768959,-1.016272,-0.9716065,0.83117284,0.14043366,2.0723324
0.0207,-1.0599896,2.0769202,-1.0169306,-0.97182969,0.83158316,0.14024653,2.0723839
0.0208,-1.0593552,2.0769445,-1.0175892,-0.97205287,0.83199348,0.1400594,2.0724351
0.0209,-1.0587209,2.0769687,-1.0182478,-0.97227606,0.83240379,0.13987226,2.0724861
0.021,-1.0580866,2.076993,-1.0189064,-0.97249924,0.83281411,0.13968513,2.0725369
0.0211,-1.0574376,2.0770105,-1.0195729,-0.97272292,0.83323163,0.13949129,2.0725875
0.0212,-1.0567887,2.077028,-1.0202393,-0.97294659,0.83364914,0.13929745,2.0726378
0.0213,-1.0561398,2.0770455,-1.0209058,-0.97317026,0.83406666,0.13910361,2.0726878
0.0214,-1.0554908,2.077063,-1.0215722,-0.97339394,0.83448417,0.13890976,2.0727376
0.0215,-1.0548419,2.0770805,-1.0222387,-0.97361761,0.83490169,0.13871592,2.0727872
0.0216,-1.0541929,2.0770981,-1.0229051,-0.97384129,0.83531921,0.13852208,2.0728365
0.0217,-1.053544,2.0771156,-1.0235716,-0.97406496,0.83573672,0.13832824,2.0728855
0.0218,-1.0528951,2.0771331,-1.024238,-0.97428864,0.83615424,0.1381344,2.0729344
0.0219,-1.0522461,2.0771506,-1.0249045,-0.97451231,0.83657176,0.13794055,2.0729829
0.022,-1.0515972,2.0771681,-1.0255709,-0.97473598,0.83698927,0.13774671,2.0730312
0.0221,-1.0509355,2.077178,-1.0262424,-0.97495897,0.83741251,0.13754646,2.0730793
0.0222,-1.0502739,2.0771878,-1.0269139,-0.97518196,0.83783575,0.1373462,2.0731271
0.0223,-1.0496122,2.0771977,-1.0275855,-0.97540494,0.83825899,0.13714595,2.0731746
0.0224,-1.0489506,2.0772076,-1.028257,-0.97562793,0.83868224,0.13694569,2.0732218
0.0225,-1.0482889,2.0772174,-1.0289285,-0.97585092,0.83910548,0.13674544,2.0732688
0.0226,-1.0476273,2.0772273,-1.0296,-0.9760739,0.83952872,0.13654519,2.0733155
0.0227,-1.0469656,2.0772372,-1.0302716,-0.97629689,0.83995196,0.13634493,2.0733619
0.0228,-1.046304,2.077247,-1.0309431,-0.97651988,0.8403752,0.13614468,2.0734081
0.0229,-1.0456423,2.0772569,-1.0316146,-0.97674286,0.84079844,0.13594442,2.073454
0.023,-1.0449806,2.0772668,-1.0322861,-0.97696585,0.84122168,0.13574417,2.0734996
0.0231,-1.0443083,2.0772681,-1.0329598,-0.97718691,0.84164909,0.13553782,2.0735449
0.0232,-1.0436359,2.0772694,-1.0336335,-0.97740798,0.8420765,0.13533147,2.07359
0.0233,-1.0429636,2.0772707,-1.0343072,-0.97762904,0.84250391,0.13512513,2.0736347
0.0234,-1.0422912,2.077272,-1.0349808,-0.97785011,0.84293133,0.13491878,2.0736791
0.0235,-1.0416189,2.0772734,-1.0356545,-0.97807117,0.84335874,0.13471244,2.0737232
0.0236,-1.0409465,2.0772747,-1.0363282,-0.97829224,0.84378615,0.13450609,2.073767
0.0237,-1.0402741,2.077276,-1.0370019,-0.9785133,0.84421356,0.13429974,2.0738106
0.0238,-1.0396018,2.0772773,-1.0376756,-0.97873437,0.84464097,0.1340934,2.0738538
0.0239,-1.0389294,2.0772786,-1.0383492,-0.97895543,0.84506838,0.13388705,2.0738967
0.024,-1.0382571,2.07728,-1.0390229,-0.9791765,0.84549579,0.1336807,2.0739393
0.0241,-1.0375761,2.0772718,-1.0396957,-0.97939436,0.84592575,0.13346861,2.0739816
0.0242,-1.0368951,2.0772637,-1.0403685,-0.97961222,0.84635571,0.13325651,2.0740235
0.0243,-1.0362142,2.0772555,-1.0410413,-0.97983008,0.84678567,0.13304442,2.0740651
0.0244,-1.0355332,2.0772473,-1.0417141,-0.98004795,0.84721562,0.13283232,2.0741063
0.0245,-1.0348523,2.0772392,-1.0423869,-0.98026581,0.84764558,0.13262023,2.0741473
0.0246,-1.0341713,2.077231,-1.0430597,-0.98048367,0.84807554,0.13240813,2.0741878
0.0247,-1.0334904,2.0772229,-1.0437325,-0.98070153,0.8485055,0.13219604,2.0742281
0.0248,-1.0328094,2.0772147,-1.0444053,-0.9809194,0.84893545,0.13198394,2.074268
0.0249,-1.0321284,2.0772066,-1.0450781,-0.98113726,0.84936541,0.13177185,2.0743075
0.025,-1.0314475,2.0771984,-1.0457509,-0.98135512,0.84979537,0.13155975,2.0743467
