trip,trip_time_ms,k_ibr,Rf,kappa_n,model,ddr
True,20.0,1.2363328920636218,0.1723276703885349,1.0000000000000029,pv_2param,3.720373025849233e-17
True,20.0,1.2349015921406459,0.17001034567481077,1.0376742936341805,pv_2param,1.2324647076307593e-16
True,20.0,0.4556283146869069,0.06454879749693246,1.000000000000002,pv_2param,2.590114816646321e-17
True,20.0,0.606167223106889,0.0639690600173911,1.0018026730460527,pv_2param,1.2679824729508439e-16
True,20.0,0.3956038039309653,0.010358495416484282,1.0821065394123779,pv_2param,1.281036268271909e-16
True,20.0,0.9826232083935038,0.0020332559492629576,1.0000000000000002,pv_2param,9.116687598020463e-17
True,20.0,1.2045023734003708,0.08035878374545402,1.0000000000000093,pv_2param,8.369608333158529e-17
True,20.0,0.4822183823090678,0.10442447396952384,1.0465833365456352,pv_2param,0.0
True,20.0,1.1358684148647813,0.06897204411002726,1.0000000000000315,pv_2param,6.534845503210367e-17
True,20.0,0.9236793593262518,0.14633571144285654,1.0000000000000053,pv_2param,7.05203310754461e-17
True,20.0,0.8154049106379269,0.008030706132907395,1.000000000000008,pv_2param,0.0
True,20.0,0.599076010416575,0.18688296784164393,1.0000000000000022,pv_2param,9.224698069371008e-17
True,20.0,1.4265564306287861,0.12818975730082244,1.000000000000015,pv_2param,7.451200916446855e-17
True,20.0,1.2995534336185042,0.07204142466881173,1.0056211061817186,pv_2param,9.900756161213798e-17
True,20.0,1.3740196498842379,0.17284568100406503,1.0000000000000004,pv_2param,4.649416339234838e-17
True,20.0,0.9150562862162062,0.18444738725244322,1.0000000000000016,pv_2param,6.931536362219197e-17
True,20.0,0.4389062063018826,0.13473317395850906,1.06826553294595,pv_2param,0.0
True,20.0,1.44403933728088,0.16056707873715476,1.0000000000000142,pv_2param,7.125118545761837e-17
True,20.0,0.38706480020671985,0.16422187863937612,1.0000000000000013,pv_2param,6.02563626365038e-18
True,20.0,0.6712169335592297,0.05935820982350964,1.0000000000000266,pv_2param,0.0
True,20.0,1.3652551065179621,0.04562669011814329,1.0000000000000047,pv_2param,6.204273921236635e-17
True,20.0,0.6394822357248966,0.19128743658302583,1.0000000000000004,pv_2param,5.766519431141563e-17
True,20.0,1.4368398300623524,0.09365574395301575,1.0000000000000027,pv_2param,0.0
True,20.0,1.3818626871336486,0.02747308900377854,1.0000000000000175,pv_2param,4.527316363855049e-17
True,20.0,1.2264366712658945,0.01022244402800967,1.0000000000000209,pv_2param,1.658128170853901e-16
True,20.0,1.4336364995389768,0.17885728469679324,1.0000000000000047,pv_2param,0.0
True,20.0,0.392214269565195,0.12430053231772176,1.0000000000000018,pv_2param,0.0
True,20.0,0.7321897313157631,0.17727442369855267,1.0000000000000013,pv_2param,4.389094070940794e-17
True,20.0,0.5795559216238504,0.004959167569421808,1.0000000000000018,pv_2param,8.992471394509904e-17
True,20.0,1.4364789959538098,0.1670077279921404,1.001176168290374,pv_2param,4.5951223606952414e-17
True,20.0,1.2865851665999988,0.12343548864206487,1.0000000000000029,pv_2param,4.7714620124146205e-17
True,20.0,1.4981727436692749,0.03929171928465663,1.0000000000000187,pv_2param,5.4350885919937065e-17
True,20.0,1.2209752093394768,0.13977620214615186,1.011722289394797,pv_2param,1.0075818449612137e-16
True,20.0,1.4959415142136039,0.11426612843433437,1.0000000000000067,pv_2param,1.9798193610461338e-17
True,20.0,1.0430298721219082,0.07064567254734337,1.0000000000000193,pv_2param,8.271647702184337e-17
True,20.0,1.26715141677414,0.11924721175315321,1.000000000000008,pv_2param,5.529824963463911e-17
True,20.0,1.0713709102617304,0.1945151401976695,1.0000000000000033,pv_2param,6.232116494285653e-17
True,20.0,0.3135982855383169,0.13059468289104734,1.000000000000001,pv_2param,7.283529148286333e-17
True,20.0,0.716852278115244,0.13628396220683808,1.0000000000000115,pv_2param,0.0
True,20.0,0.9030377303816026,0.11371271961310668,1.000000000000008,pv_2param,0.0
True,20.0,0.6592439300233974,0.17753751301015908,1.0103395094022025,pv_2param,2.1415572097649822e-17
True,20.0,1.0572888102293991,0.1557060942671894,1.0000000000000033,pv_2param,1.107391036099582e-16
True,20.0,1.4834417797066524,0.10138341731689822,1.0000000000000056,pv_2param,0.0
True,20.0,0.5845408257039825,0.1578408926868884,1.0000000000000007,pv_2param,0.0
True,20.0,0.4774262601870731,0.14720322225717491,1.000000000000002,pv_2param,5.881795423516423e-17
True,20.0,1.2239850992371921,0.07480391250246834,1.0000000000000067,pv_2param,6.907535560132901e-17
True,20.0,1.46433109997616,0.03889049465084818,1.0000000000000162,pv_2param,4.5658515054093796e-17
True,20.0,0.46167947030729833,0.11403311021872889,1.000000000000001,pv_2param,5.555492085487002e-17
