t,ia,ib,ic,va,vb,vc,i_rms
0.0267,0.7904019,-0.19161161,-0.5987903,0.86074203,0.010471784,-0.87121381,0.58309519
0.0268,0.7826277,-0.16632404,-0.61630366,0.84432793,0.041875654,-0.88620358,0.58309519
0.0269,0.77408113,-0.14087234,-0.6332088,0.82708057,0.073238197,-0.90031877,0.58309519
0.027,0.76477065,-0.11528161,-0.64948904,0.80901699,0.10452846,-0.91354546,0.58309519
0.0271,0.75470542,-0.08957711,-0.66512831,0.79015501,0.13571557,-0.92587058,0.58309519
0.0272,0.74389539,-0.06378421,-0.68011118,0.77051324,0.16676875,-0.93728199,0.58309519
0.0273,0.73235123,-0.037928363,-0.69442287,0.75011107,0.19765734,-0.94776841,0.58309519
0.0274,0.72008432,-0.012035084,-0.70804924,0.72896863,0.22835087,-0.9573195,0.58309519
0.0275,0.70710678,0.013870071,-0.72097685,0.70710678,0.25881905,-0.96592583,0.58309519
0.0276,0.69343141,0.039761538,-0.73319295,0.68454711,0.2890318,-0.9735789,0.58309519
0.0277,0.67907171,0.065613765,-0.74468547,0.66131187,0.31895931,-0.98027117,0.58309519
